study,Reference,Case,Location ,Location2,coordinate 1,coordinate 2,Region,Climate,Mean annual precipitation (mm),MAP (2001-2009),NDVI aster,NDVI,Soilwet,part of the gradient,gradient 2,Study type,Performance estimator,Performance estimator2,SGH test?,Study mechanism?,suggested mechanism,Neighbor life-form1,Neighbor life-form2,Neighbor life-form3,Neighbor species,Target life-form1,Target life-form2,Target life-form3,Target life-form4,Target species,Target ontogenetic phase1,Target ontogenetic phase2,Balance interaction,OBS,Main Hypothesis or Question,data usable for Meta?,ask the authors?,DATA META,MEANc,MEANe,SDc,SDe,Nc,Ne,SEc,SEe
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.01,"California, USA",,38°18'N,123°03'W,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,no tested,somewhat,nutrient adittion,shrub,shrub ,wood,Lupinus chamissonis,herb (forb),forb,herb,non-wood,Claytonia perfoliata,all? (less seeds),several,positive,,"How do two shrubs with contrasting life-history influence abundance of dominant plant taxa, species richness and aboveground biomass of grasses and forbs, litter acumulation, nitrogen pools and mineralization rates?",YES,NA,YES,6.72,494,12.64,323.33,24,24,2.58,66
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.02,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (forb),forb,herb,non-wood,Claytonia perfoliata,all? (less seeds),several,positive,,,YES,NA,YES,6.72,405,12.64,230.25,24,24,2.58,47
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.03,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,herb (forb),forb,herb,non-wood,Claytonia perfoliata,all? (less seeds),several,positive,,,"No, pseudoreplica, dicou apenas density",NA,NO,4,57.9,5.68,32.82,24,24,1.16,6.7
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.04,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (forb),forb,herb,non-wood,Claytonia perfoliata,all? (less seeds),several,positive,,,"No, pseudoreplica, dicou apenas density",NA,NO,4,46.6,5.68,24.98,24,24,1.16,5.1
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.05,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,herb (exotic grass),herb,herb,non-wood,Bromus diadruns,all? (less seeds),several,positive,,,YES,NA,YES,9.3,17.4,23.03,17.15,24,24,4.7,3.5
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.06,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (exotic grass),herb,herb,non-wood,Bromus diadruns,all? (less seeds),several,positive,,,YES,NA,YES,9.3,12.8,23.03,17.15,24,24,4.7,3.5
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.07,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,herb (exotic grass),herb,herb,non-wood,Bromus diadruns,all? (less seeds),several,positive,,,"No, pseudoreplica, dicou apenas density",NA,NO,9.76,41.8,9.60,27.92,24,24,1.96,5.7
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.08,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (cover),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (exotic grass),herb,herb,non-wood,Bromus diadruns,all? (less seeds),several,positive,,,"No, pseudoreplica, dicou apenas density",NA,NO,9.76,22.8,9.60,19.11,24,24,1.96,3.9
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.09,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Lupinus chamissonis,herb (exotic grass),herb,herb,non-wood,Vulpia bromoides,all? (less seeds),several,negative,,,YES,NA,YES,40.7,2.33,39.68,17.05,24,24,8.09999999999999,3.48
1,"Cushman JH, Waller JC, Hoak DR,  2010",1.10,"California, USA",,,,temperate,mediterranean,NA,482,0.652,4.2,4332,hind-dune,2,pattern,abundancy (density),abundance,,,,shrub,shrub ,wood,Ericameria ericoides,herb (exotic grass),herb,herb,non-wood,Vulpia bromoides,all? (less seeds),several,negative,,,YES,NA,YES,40.7,16.30,39.68,22.54,24,24,8.09999999999999,4.60
