study,Reference,Case,Location ,Location 2,coordinate 1,coordinate 2,Region,Climate,Mean annual precipitation (mm),MAP (2001-2009),NDVI aster,NDVI,Soilwet,part of the gradient,gradient 2,Study type,Performance estimator,Performance estimator2,SGH test?,Study mechanism?,suggested mechanism,Neighbor life-form,Neighbor life-form2,Neighbor life-form3,Neighbor life-form4,Neighbor species,Target life-form1,Target life-form2,Target life-form3,Target species,Target ontogenetic phase2,Target ontogenetic phase,Balance interaction,OBS,Main Hypothesis or Question,data usable fo Meta?,ask the authors?,META DATA,survival with neighbor,survival control,dead with neighbor,dead control,,MEANc,MEANe,SDc,SDe,Nc,Ne,SEc,SEe
5,"Maltez-Mouro S, Maestre FT, Freitas H, 2010",5.01,Portugal (Sines),,"37°59'18.0""N","8°51'22.0""W",temperate,mediterranean,664,435,,4.1,3889,yellow dunes,2,pattern,occurrence,occurrence,partially supported,no  ,NA,several,several,several,several,several,several,several,several,several,all? (less seeds),several,negative ,resultado dependente de escala e surrogate usado para stress. No entanto não sei se dá pra confiar na análises! Resultados conflitantes de análises diferentes. Mas…não foi encontrado SGH em escala local usando distancia do mar como surrogate para estresse.,SGH,"NO, they didn''t provide this kind of data. They used C-score index",NO,NO,,,,,,,,,,,,,
5,"Maltez-Mouro S, Maestre FT, Freitas H, 2010",5.02,Portugal (Monte Velho),,"38°04'56.2""N","8°48'34.2""W",temperate,mediterranean,650,425,,4.5,3392,yellow dunes,2,pattern,occurrence,occurrence,,,,several,several,several,several,several,several,several,several,several,all? (less seeds),several,neutral,,,"NO, they didn''t provide this kind of data. They used C-score index",NO,NO,,,,,,,,,,,,,
5,"Maltez-Mouro S, Maestre FT, Freitas H, 2010",5.03,Portugal (Melides),,"38°07'29.6""N","8°47'37.5""W",temperate,mediterranean,638,425,,5.8,3392,yellow dunes,2,pattern,occurrence,occurrence,,,,several,several,several,several,several,several,several,several,several,all? (less seeds),several,negative,,,"NO, they didn''t provide this kind of data. They used C-score index",NO,NO,,,,,,,,,,,,,
5,"Maltez-Mouro S, Maestre FT, Freitas H, 2010",5.04,Portugal (Troia),,"38°25'38.9""N","8°49'51.0""W",temperate,mediterranean,646,440,,3.4,3680,yellow dunes,2,pattern,occurrence,occurrence,,,,several,several,several,several,several,several,several,several,several,all? (less seeds),several,negative,,,"NO, they didn''t provide this kind of data. They used C-score index",NO,NO,,,,,,,,,,,,,
5,"Maltez-Mouro S, Maestre FT, Freitas H, 2010",5.05,Portugal (Nazaré),,"39°33'41.2""N","9°05'51.9""W",temperate,mediterranean,777,648,,6.5,5247,yellow dunes,2,pattern,occurrence,occurrence,,,,several,several,several,several,several,several,several,several,several,all? (less seeds),several,neutral,,,"NO, they didn''t provide this kind of data. They used C-score index",NO,NO,,,,,,,,,,,,,
5,"Maltez-Mouro S, Maestre FT, Freitas H, 2010",5.06,Portugal (Vieira),,"39°53'06.6""N","8°58'02.4""W",temperate,mediterranean,854,692,,6.1,5925,yellow dunes,2,pattern,occurrence,occurrence,,,,several,several,several,several,several,several,several,several,several,all? (less seeds),several,negative,,,"NO, they didn''t provide this kind of data. They used C-score index",NO,NO,,,,,,,,,,,,,
5,"Maltez-Mouro S, Maestre FT, Freitas H, 2010",5.07,Portugal (Leirosa),,"40°03'50.9""N","8°53'10.2""W",temperate,mediterranean,831,669,,5.8,5854,yellow dunes,2,pattern,occurrence,occurrence,,,,several,several,several,several,several,several,several,several,several,all? (less seeds),several,neutral,,,"NO, they didn''t provide this kind of data. They used C-score index",NO,NO,,,,,,,,,,,,,
5,"Maltez-Mouro S, Maestre FT, Freitas H, 2010",5.08,Portugal (Quiaios),,"40°14'09.2""N","8°53'01.2""W",temperate,mediterranean,848,669,,8,5854,yellow dunes,2,pattern,occurrence,occurrence,,,,several,several,several,several,several,several,several,several,several,all? (less seeds),several,negative,,,"NO, they didn''t provide this kind of data. They used C-score index",NO,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.01,France,,44°43'N,01°14'W,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,foredune,1,experimental,survival,survival,partially supported…,no,NA,grass,grass,herb,,Elymus farctus (dominant in the patch),grass,herb,non-wood,Elymus farctus,"""young""",young,neutral,,"SGH, especifically they tested if the physical disturbance induce a collapse of interactions at the severe end of diversity-biomass gradients","NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo que reflete um ""average year""",YES,NO,,,,,,,,,,,,,
6,"Forey E, Touzard B, Michalet R, 2010",6.02,France,,,,temperate,temperate oceanic,875 (dry year),772,0.216,7.7,5353,foredune,1,experimental,survival,survival,,,,grass,grass,herb,,Elymus farctus (dominant in the patch),grass,herb,non-wood,Ammophila arenaria,"""young""",young,neutral,,,"NO, they din't provide survival with neighbor. Mas além disso é um pseudoreplica pois são dosi anos. Ficou apenas o segundo",YES,NO,,,,,,,,,,,,,
