Markdown files,To be compiled in book,Chapter,Section
index.Rmd,1,00-Preface,1
course-overview/course-overview.md,1,01-Introduction,1
course-overview/code-of-conduct.md,1,01-Introduction,2
thinking-preferences/thinking-preferences.md,1,02-Scientific-Communication-Collaboration,1
message-box/message-box.md,1,02-Scientific-Communication-Collaboration,2
meeting-facilitation/meeting-facilitation.md,1,02-Scientific-Communication-Collaboration,3
servers-networks-command-line/1-servers-net.Rmd,1,03-Servers-and-Unix,1
servers-networks-command-line/4-regex.Rmd,1,03-Servers-and-Unix,1
servers-networks-command-line/2-commandline-intro.Rmd,1,03-Servers-and-Unix,2
servers-networks-command-line/3-bash-loops.Rmd,1,03-Servers-and-Unix,3
version-control/1-git-basics.md,1,04-Version-Control,1
version-control/2-git-remote-collaboration.md,1,04-Version-Control,2
version-control/3-git-advanced.md,1,04-Version-Control,3
version-control/4-getting-started-with-git-in-RStudio.md,1,04-Version-Control,4
rmarkdown-rstudio/rmarkdown-rstudio.Rmd,1,05-Programming-R-Rstudio,1
r-review-and-assessment/r-review-and-assessment.Rmd,1,05-Programming-R-Rstudio,2
creating-r-functions/creating-r-functions.Rmd,1,05-Programming-R-Rstudio,3
creating-r-packages/creating-r-packages.Rmd,1,05-Programming-R-Rstudio,4
testing-in-r/testing-in-r.Rmd,1,05-Programming-R-Rstudio,5
parallel-computing-in-r/parallel-computing-in-r.Rmd,1,05-Programming-R-Rstudio,6
why-python/python-the-why.md,1,05-Programming-R-Rstudio,7
data-repositories/data-repositories.md,1,06-Data-Management-Preservation,1
ecological-metadata/ecological-metadata.Rmd,1,06-Data-Management-Preservation,2
publishing-data/upload-data.Rmd,1,06-Data-Management-Preservation,3
open-data-in-r/open-data-in-R.Rmd,1,06-Data-Management-Preservation,4
data-liberation/intro-webscraping.Rmd,1,06-Data-Management-Preservation,5
data-wrangling/tidyverse.Rmd,1,07-Data-manipulations-R,2
data-munging-qa-qc-cleaning/data-munging-qa-qc-cleaning.Rmd,1,07-Data-manipulations-R,3
regular-expressions/regular-expressions.Rmd,1,07-Data-manipulations-R,4
data-liberation/intro-text-mining.Rmd,1,07-Data-manipulations-R,5
sql-database/01-sql-database-intro.md,1,08-Data-Modeling,1
sql-database/02-sql-start.Rmd,1,08-Data-Modeling,2
sql-database-access-in-r/sql-database-access-in-r.Rmd,1,08-Data-Modeling,3
dataviz-and-interactive-tools/dataviz-and-interactive-tools.Rmd,1,09-Data-Visualization,1
dataviz-and-interactive-tools/module-1-ggplot2.Rmd,1,09-Data-Visualization,2
dataviz-and-interactive-tools/module-2-shiny.Rmd,1,09-Data-Visualization,3
spatial-data-gis-law/1-mon-spatial-data-intro.Rmd,1,10-Spatial-Data-Analysis,1
spatial-data-gis-law/2-mon-intro-to-open-gis-qgis.Rmd,1,10-Spatial-Data-Analysis,2
spatial-data-gis-law/3-mon-intro-gis-in-r.Rmd,1,10-Spatial-Data-Analysis,3
publishing-maps-to-the-web-in-r/publishing-maps-to-the-web-in-r.Rmd,1,10-Spatial-Data-Analysis,4
publication-ready-maps-in-r/publication-ready-maps-in-R.Rmd,1,10-Spatial-Data-Analysis,5
spatial-data-gis-law/4-tues-spatial-analysis-in-r.Rmd,1,10-Spatial-Data-Analysis,6
spatial-data-gis-law/5-tues-intro-hierarchical-formats.Rmd,1,10-Spatial-Data-Analysis,7
metagenomics/index.md,1,11-Metagenomics,1
meta-analysis/index-meta.Rmd,1,12-Meta-Analysis,1
meta-analysis/step1.Rmd,1,12-Meta-Analysis,2
meta-analysis/step2.Rmd,1,12-Meta-Analysis,3
meta-analysis/step3.Rmd,1,12-Meta-Analysis,4
meta-analysis/step4.Rmd,1,12-Meta-Analysis,5
meta-analysis/step5.Rmd,1,12-Meta-Analysis,6
openscience/,,13-Open-Science,1
reproducible-papers-with-rmd/reproducible-papers-with-rmd.Rmd,1,13-Open-Science,2
00-instructor-guidelines/guidelines for instructors.Rmd,0,NA,NA
00-instructor-guidelines/template.Rmd,0,NA,NA
ecological-metadata/abstract.md,0,NA,NA
ecological-metadata/methods.md,0,NA,NA
meta-analysis/README.md,0,NA,NA
publishing-data/better-abstract.md,0,NA,NA
publishing-maps-to-the-web-in-r/map.Rmd,0,NA,NA
qgis/1-intro-qgis.md,0,NA,NA
README.md,0,NA,NA
version-control/slides-version-control.md,0,NA,NA
