  FARE MEDIA,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
ADULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     TOKENS,110945,111157,112360,117962,124748,120366,114686,94210,69134,75340,82162,80859,80330,82102,83771,82218,83028,85303,86991,87857,87775,97877,104016,114064,111365,119538,114874,122180,127088,126217,128207
     TICKETS,,,,,,1298,8807,34445,65398,68546,73151,72952,71485,74578,70930,66331,64109,66490,66177,67164,70369,62700,57710,53655,35788,38369,37401,39514,38944,42052,48793
    TWO-FARE,,,,,,,,,,,,,,,,,,,,4329,12525,13265,12894,11201,17927,22313,27025,18837,8976,7347,
     PRESTO,13323,9862,8194,4399,1139,0,0,,,,,,,,,,,,,,,,,,,,,,,,
     REGULAR MONTHLY PASS,204509,214932,213982,205086,194928,203101,208172,203313,195001,171314,140594,125836,119681,116805,118176,112081,103447,98473,91521,86549,96803,96907,100607,109509,108148,116610,113506,119264,109151,101901,94970
     POST-SECONDARY PASS,48396,42855,38426,35019,32091,9200,,,,,,,,,,,,,,,,,,,,,,,,,
     TWIN-GO PASS,,,,,,,,,,,,,,762,1118,1105,1430,1649,1592,1652,1976,2111,2514,2924,3235,2758,,,,,
     WEEKLY PASS,8843,9361,9557,10185,9893,9237,8738,7517,7126,5413,1296,,,,,,,,,,,,,,,,,,,,
     CASH,48873,49120,48623,46467,43795,43149,41445,39408,36317,38684,47521,55172,51328,51052,58400,61539,54835,49658,46209,32642,20930,20708,22131,23696,60034,67296,65665,66872,75308,66475,63986
  SUB-TOTAL,434889,437287,431142,419118,406594,386351,381848,378893,372976,359297,344724,334819,322824,325299,332395,323274,306849,301573,292490,280193,290378,293568,299872,315049,336497,366884,358471,366667,359467,343992,335956
SENIOR/STUDENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     MONTHLY PASS,25092,23064,20509,19769,18590,17169,15331,14864,14506,12931,11068,9940,10586,11123,12397,11785,10124,9419,8647,9098,11028,10716,10508,10389,5850,5117,4570,4541,3855,3288,2519
     WEEKLY PASS,672,515,540,624,702,814,874,780,686,372,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     TICKETS,32595,33408,35472,37039,38299,38674,38615,39097,40181,40808,42746,41562,41844,44018,44012,43885,44263,46559,48306,52852,58515,56539,56625,57082,56559,61358,61837,65708,65927,62963,61193
    TWO-FARE,,,,,,,,,,,,,,,,,,,,,,,,,,,93,63,,,
     PRESTO,438,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     CASH,12170,12037,8538,8164,7609,5856,5526,5253,4211,4581,6549,7602,6759,6440,7507,7921,7481,7197,7665,8114,5202,4772,4703,3725,6030,6324,6267,6359,7449,10852,13117
  SUB-TOTAL,70967,69036,65059,65596,65200,62513,60346,59994,59584,58692,60456,59104,59189,61581,63916,63591,61868,63175,64618,70064,74745,72027,71836,71196,68439,72799,72767,76671,77231,77103,76829
CHILDREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     FREE RIDES,10939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     TICKETS,1066,7097,7563,7929,8304,8287,8562,8782,8959,8879,8143,7573,7915,8869,9133,9401,9186,9640,9667,10129,11338,12192,12193,11569,11722,12417,12261,13194,12581,12074,10884
     PRESTO,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     CASH,526,3705,2708,2589,2433,2539,2410,2253,1933,2168,3916,4514,4072,3938,3999,4203,4209,4344,4313,3674,2877,2717,2486,1860,2546,3071,2916,3175,3526,3844,4768
  SUB-TOTAL,12541,10802,10271,10518,10737,10826,10972,11035,10892,11047,12059,12087,11987,12807,13132,13604,13395,13984,13980,13803,14215,14909,14679,13429,14268,15488,15177,16369,16107,15918,15652
     DAY/VIST./OTHER,8561,10033,11428,11929,10642,10605,10880,9961,9636,9194,7598,6191,5817,9685,4943,4837,5576,5236,4611,4234,4833,4764,4228,1853,2572,972,1312,641,612,649,630
     BLIND/WAR AMPS,1086,1119,1109,1086,1060,1073,1074,1092,1094,1025,1026,1065,1113,1275,1223,1138,1131,1137,1057,1057,1059,1119,1122,1127,1093,1098,1139,1252,1593,1506,1272
     PREMIUM EXPRESS,490,451,401,372,344,322,313,310,295,259,260,278,280,282,339,330,301,307,310,322,425,437,417,257,,,,,,,
     POSTAL CARRIERS,,,,,,,,,,58,702,700,664,683,719,753,790,783,902,1107,1122,1085,1331,1340,1298,1993,1860,1875,1874,1844,1821
     GTA PASS,5471,6087,5784,5388,5642,5667,5800,5415,5292,4972,4395,3855,3538,3927,3326,3031,2683,2494,1915,1650,1375,343,,,,,,,,,
  SYSTEM TOTAL,534005,534815,525194,514007,500219,477357,471233,466700,459769,444544,431220,418099,405412,415539,419993,410558,392593,388689,379883,372430,388152,388252,393485,404251,424167,459234,450726,463475,456884,441012,432160
