Agenda,Day 1. Metagenomics,Day 2. Communicating with videos and geospatial analysis,Day 3. Geospatial analysis and Algorithmic Approaches,Day 4. Data Viz,Day 5. Group projects! Publications. Group reports
8:15-8:30,"Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion"
8:30-9:00,Metagenomics (Teal),Video storytelling (NCEAS expert),LAB: geospatial analysis (Wasser),"Data Viz and interactive tools (Wasser, Lortie)",Project presentations and discussion
930-945,Break,Break,Break,Break,Break
9:45-11:00,Scribe (Teal),Lab: Building project videos,LAB: geospatial analysis (Wasser),LECTURE: Visualizing diversity data (Teal),Project presentations and discussion
11:00-12:00,Phyloseq/ data visualization (Teal),Lab: Building project videos,LAB: geospatial analysis (Wasser),"LECTURE: Science in the open: Provenance and Reproducibility (Jones, Schildhauer)",Project presentations and discussion
Noon-12:45,Lunch,Lunch,Lunch,Lunch,Lunch
12:30-1:30,tmux (Teal),LECTURE: geospatial analysis (Wasser) ,LECTURE: HD5f (Wasser),LECTURE: Data semantics and annotation (Schildhauer),Discussion: open science for synthesis and course feedback
1:30-2:00,Hands-on exercise and workflow (Teal),Hands-on with communicating geospatial analyses,LECTURE: Intro to RS (Wasser),Hands-on data viz from each subdomain presented today (all),Fiesta Celebration
2:00-2:15,Break,Break,Break,Break,Break
2:15-5:00,Group Project,Group Project,Group Project,Group Project,Group Project
5:00-5:15,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS,Adjourn at NCEAS
